athletes,laterality,age,date,assessment,metric,value,position
athlete 1,R,19,4/12/2016,Anthropometry,Body Fat %,9.43,Defender
athlete 1,R,19,4/12/2016,Anthropometry,Height (in),74.25,Defender
athlete 1,R,19,4/12/2016,Anthropometry,Body Weight (lbs),193,Defender
athlete 1,R,19.1,6/1/2016,Anthropometry,Body Fat %,6.1,Defender
athlete 1,R,19.1,6/1/2016,Anthropometry,Body Weight (lbs),196,Defender
athlete 1,R,19.3,8/22/2016,Anthropometry,Body Fat %,6.87,Defender
athlete 1,R,19.3,8/22/2016,Anthropometry,Body Weight (lbs),197.8,Defender
athlete 1,R,19.9,3/8/2017,Max Running Speed,0-10y,1.7,Defender
athlete 1,R,19.9,3/8/2017,Max Running Speed,0-10y,1.65,Defender
athlete 1,R,19.9,3/8/2017,Max Running Speed,10-30y,2.289,Defender
athlete 1,R,19.9,3/8/2017,Max Running Speed,10-30y,2.234,Defender
athlete 1,R,19.9,3/8/2017,Max Running Speed,0-30y,3.989,Defender
athlete 1,R,19.9,3/8/2017,Max Running Speed,0-30y,3.884,Defender
athlete 1,R,20,4/6/2017,Anthropometry,Body Fat %,8.69,Defender
athlete 1,R,20,4/6/2017,Anthropometry,Height (in),74,Defender
athlete 1,R,20,4/6/2017,Anthropometry,Body Weight (lbs),207.2,Defender
athlete 1,R,20,4/6/2017,Nordic Hamstring Strength,Lateral Assymetry %,9.48,Defender
athlete 1,R,20,4/6/2017,Nordic Hamstring Strength,Left Hamstring Strength,262.67,Defender
athlete 1,R,20,4/6/2017,Nordic Hamstring Strength,Right Hamstring Strength,290.17,Defender
athlete 1,R,20,4/8/2017,Max Running Speed,0-10y,1.642,Defender
athlete 1,R,20,4/8/2017,Max Running Speed,0-10y,1.626,Defender
athlete 1,R,20,4/8/2017,Max Running Speed,0-10y,1.655,Defender
athlete 1,R,20,4/8/2017,Max Running Speed,10-30y,2.297,Defender
athlete 1,R,20,4/8/2017,Max Running Speed,10-30y,2.252,Defender
athlete 1,R,20,4/8/2017,Max Running Speed,10-30y,2.27,Defender
athlete 1,R,20,4/8/2017,Max Running Speed,0-30y,3.939,Defender
athlete 1,R,20,4/8/2017,Max Running Speed,0-30y,3.878,Defender
athlete 1,R,20,4/8/2017,Max Running Speed,0-30y,3.925,Defender
athlete 1,R,20.1,5/29/2017,Anthropometry,Body Fat %,8.69,Defender
athlete 1,R,20.1,5/29/2017,Anthropometry,Body Weight (lbs),203,Defender
athlete 1,R,20.2,6/13/2017,Nordic Hamstring Strength,Lateral Assymetry %,13.35,Defender
athlete 1,R,20.2,6/13/2017,Nordic Hamstring Strength,Left Hamstring Strength,286.08,Defender
athlete 1,R,20.2,6/13/2017,Nordic Hamstring Strength,Right Hamstring Strength,330.17,Defender
athlete 1,R,20.2,6/13/2017,Max Running Speed,0-10y,1.681,Defender
athlete 1,R,20.2,6/13/2017,Max Running Speed,0-10y,1.717,Defender
athlete 1,R,20.2,6/13/2017,Max Running Speed,0-10y,1.657,Defender
athlete 1,R,20.2,6/13/2017,Max Running Speed,10-30y,2.265,Defender
athlete 1,R,20.2,6/13/2017,Max Running Speed,10-30y,2.229,Defender
athlete 1,R,20.2,6/13/2017,Max Running Speed,10-30y,2.205,Defender
athlete 1,R,20.2,6/13/2017,Max Running Speed,0-30y,3.946,Defender
athlete 1,R,20.2,6/13/2017,Max Running Speed,0-30y,3.946,Defender
athlete 1,R,20.2,6/13/2017,Max Running Speed,0-30y,3.862,Defender
athlete 1,R,20.3,8/3/2017,Nordic Hamstring Strength,Lateral Assymetry %,19.05,Defender
athlete 1,R,20.3,8/3/2017,Nordic Hamstring Strength,Left Hamstring Strength,293.5,Defender
athlete 1,R,20.3,8/3/2017,Nordic Hamstring Strength,Right Hamstring Strength,362.58,Defender
athlete 1,R,20.3,8/3/2017,Max Running Speed,0-10y,1.7,Defender
athlete 1,R,20.3,8/3/2017,Max Running Speed,0-10y,1.65,Defender
athlete 1,R,20.3,8/3/2017,Max Running Speed,10-30y,2.289,Defender
athlete 1,R,20.3,8/3/2017,Max Running Speed,10-30y,2.234,Defender
athlete 1,R,20.3,8/3/2017,Max Running Speed,0-30y,3.989,Defender
athlete 1,R,20.3,8/3/2017,Max Running Speed,0-30y,3.884,Defender
athlete 1,R,20.3,8/4/2017,Nordic Hamstring Strength,Lateral Assymetry %,0.1905,Defender
athlete 1,R,20.3,8/4/2017,Nordic Hamstring Strength,Left Hamstring Strength,293.5,Defender
athlete 1,R,20.3,8/4/2017,Nordic Hamstring Strength,Right Hamstring Strength,362.58,Defender
athlete 1,R,20.3,8/21/2017,Anthropometry,Body Fat %,9.33,Defender
athlete 1,R,20.3,8/21/2017,Anthropometry,Body Weight (lbs),203,Defender
athlete 1,R,20.8,2/1/2018,30-15 IFT,Final Speed,15.5,Defender
athlete 1,R,20.8,2/1/2018,30-15 IFT,VO2max,44.9,Defender
athlete 1,R,20.8,2/1/2018,Anthropometry,Body Weight (lbs),208,Defender
athlete 1,R,20.8,2/6/2018,Max Running Speed,0-10y,1.506,Defender
athlete 1,R,20.8,2/6/2018,Max Running Speed,0-10y,1.521,Defender
athlete 1,R,20.8,2/6/2018,Max Running Speed,10-30y,2.191,Defender
athlete 1,R,20.8,2/6/2018,Max Running Speed,10-30y,2.192,Defender
athlete 1,R,20.8,2/6/2018,Max Running Speed,0-30y,3.697,Defender
athlete 1,R,20.8,2/6/2018,Max Running Speed,0-30y,3.713,Defender
athlete 1,R,20.9,3/5/2018,30-15 IFT,Final Speed,16,Defender
athlete 1,R,20.9,3/5/2018,30-15 IFT,VO2max,46,Defender
athlete 1,R,20.9,3/5/2018,Anthropometry,Body Weight (lbs),204.2,Defender
athlete 1,R,20.9,3/13/2018,Nordic Hamstring Strength,Lateral Assymetry %,5.13,Defender
