athletes,laterality,age,date,position,0-10y,0-30y,10-30y,Body Fat %,Body Weight (lbs),Concentric Impulse,Concentric Impulse-100ms,Concentric Mean Power / BM,Eccentric Mean Power / BM,Estimated 1RM,Fil Speed,Height (in),Lateral Assymetry %,Left Hamstring Strength,Relative Strength,Right Hamstring Strength,RSI-modified,Vertical Velocity at Takeoff,VO2max
athlete 21,R,22.8,3/25/2021,Center Field,1.463666667,3.446666667,1.983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
athlete 33,R,25.7,3/25/2021,Center Field,1.449666667,3.467333333,2.017666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
athlete 7,R,23.2,8/9/2018,Center Field,1.493,3.559666667,2.066666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
athlete 7,R,23.2,7/10/2018,Center Field,1.552666667,3.575666667,2.023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
athlete 7,R,22.3,8/15/2017,Center Field,1.539,3.5805,2.0415,0,0,0,0,0,0,0,0,0,9,417,0,458.25,0,0,0
athlete 32,R,21.7,7/26/2019,Striker,1.46,3.585666667,2.125666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
athlete 32,R,19.7,8/20/2017,Striker,1.528666667,3.587,2.058333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
athlete 7,R,23.1,6/2/2018,Center Field,1.51525,3.58925,2.074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
athlete 2,R,21.4,8/20/2017,Defender,1.53,3.598,2.068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
athlete 32,R,21.7,8/8/2019,Striker,1.4695,3.6175,2.148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
athlete 32,R,21.5,5/31/2019,Striker,1.521,3.619,2.098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
athlete 32,R,20.4,4/13/2018,Striker,1.553333333,3.629666667,2.076333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
athlete 2,R,23.3,7/1/2019,Defender,1.5505,3.6305,2.08,0,208,0,0,0,0,0,0,0,0,0,0,0,0,0,0
athlete 6,R,24.9,10/27/2020,Center Field,1.548,3.643,2.095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
athlete 32,R,21.6,7/1/2019,Striker,1.505666667,3.653333333,2.147666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
athlete 6,R,23.6,7/26/2019,Center Field,1.564,3.659,2.095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
athlete 2,R,22.3,7/5/2018,Defender,1.562333333,3.660333333,2.098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
athlete 39,R,22.2,6/8/2019,Striker,1.5065,3.6645,2.158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
athlete 32,R,21.4,5/3/2019,Striker,1.54,3.667666667,2.127666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
athlete 3,R,25.9,8/6/2019,Defender,1.5635,3.671,2.1075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
athlete 37,R,25.7,3/26/2021,Defender,1.566,3.675,2.109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
athlete 39,R,22.4,7/26/2019,Striker,1.529,3.6805,2.1515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
athlete 39,R,21.4,8/9/2018,Striker,1.5455,3.6815,2.136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
athlete 37,R,23.7,3/26/2019,Defender,1.5565,3.6915,2.135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
athlete 2,R,23,3/26/2019,Defender,1.5945,3.6955,2.101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
athlete 1,R,20.8,2/6/2018,Defender,1.5135,3.705,2.1915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
athlete 3,R,27.6,3/26/2021,Defender,1.522,3.709,2.187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
athlete 7,R,25.9,3/25/2021,Center Field,1.570333333,3.713333333,2.143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
athlete 7,R,23.9,4/24/2019,Center Field,1.614,3.7135,2.0995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
athlete 39,R,21.3,7/6/2018,Striker,1.6915,3.716,2.0245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
athlete 36,R,25.1,7/3/2018,Goalkeeper,1.594,3.716,2.122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
athlete 3,R,24.9,7/5/2018,Defender,1.536333333,3.717,2.180666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
athlete 28,R,22.9,8/16/2018,Defender,1.632666667,3.717666667,2.085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
athlete 32,R,20.5,5/12/2018,Striker,1.572666667,3.719,2.146333333,0,197.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
athlete 39,R,22,3/16/2019,Striker,1.548,3.719,2.171,0,0,245.7699666,148.5842713,39.5442,7.923486865,0,0,0,0,0,0,0,74.88841238,3.077281934,0
athlete 37,R,24,7/26/2019,Defender,1.559333333,3.720333333,2.161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
athlete 3,R,25.8,7/1/2019,Defender,1.544,3.724,2.18,0,242,0,0,0,0,0,0,0,0,0,0,0,0,0,0
athlete 10,R,23.8,7/1/2019,Defender,1.551666667,3.727666667,2.176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
athlete 30,L,25.2,8/6/2019,Defender,1.5605,3.731,2.1705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
athlete 20,R,23.1,3/26/2019,Defender,1.5655,3.7365,2.171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
athlete 6,R,23.7,8/8/2019,Center Field,1.6235,3.7385,2.115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
athlete 7,R,22,5/25/2017,Center Field,1.596333333,3.741666667,2.145333333,0,0,0,0,0,0,0,0,0,13.21,314.44,0,362.31,0,0,0
